level,level_name,num_samples,mean_kendall_tau,mean_top_k_overlap,mean_cosine_similarity
0,trained,50,1.0,1.0,1.0
1,classifier,50,0.29904873441251506,0.6719999999999999,0.4041651728198542
2,last_1,50,0.1696976111492746,0.632,-0.31031351996016815
3,last_2,50,0.0016898827590102617,0.5519999999999999,-0.0013037948393995892
4,last_3,50,0.03358431178261279,0.5760000000000001,-0.07858716636518402
5,last_4,50,0.0051324455290421515,0.5880000000000001,-0.21485673243007392
6,last_5,50,-0.0048419715022152265,0.5740000000000002,0.32626366673450585
7,last_6,50,0.046687800661235415,0.586,-0.009329692502086857
