level,level_name,num_samples,mean_kendall_tau,mean_top_k_overlap,mean_cosine_similarity
0,trained,50,1.0,1.0,1.0
1,classifier,50,0.45794827047074416,0.75,0.7961972707820422
2,last_1,50,0.21775731827882036,0.6799999999999998,0.568728685128033
3,last_2,50,0.0507794451581868,0.612,-0.04288189841142066
4,last_3,50,0.001202393740843416,0.596,-0.07268657148746967
5,last_4,50,-0.06706479798153935,0.574,0.03302490146628278
6,last_5,50,0.08861204861912336,0.616,0.20867507935025462
7,last_6,50,0.048813322761117585,0.6060000000000001,0.09169949470914629
