level,level_name,num_samples,mean_kendall_tau,mean_top_k_overlap,mean_cosine_similarity
0,trained,50,1.0,1.0,1.0
1,classifier,50,0.2117604618357873,0.7040000000000001,0.11960617522800752
2,last_1,50,0.1485582561922423,0.6759999999999999,-0.3606207045621613
3,last_2,50,0.09278243252877282,0.648,0.12082404394541485
4,last_3,50,-0.023839461857520634,0.616,-0.16508694034773158
5,last_4,50,0.04435601645078996,0.6459999999999999,0.014983326583913381
6,last_5,50,0.05820775812633769,0.64,0.1903868797764649
7,last_6,50,0.013796787978616413,0.62,0.28709097163527614
