level,level_name,num_samples,mean_kendall_tau,mean_top_k_overlap,mean_cosine_similarity
0,trained,50,1.0,1.0,1.0
1,classifier,50,0.20375930072086973,0.6560000000000001,0.14831868784279603
2,last_1,50,0.17658124694431396,0.6700000000000002,0.026059744304355023
3,last_2,50,0.0034941918740483777,0.554,0.06713193191952971
4,last_3,50,-0.009098974436635196,0.546,-0.11811765421247418
5,last_4,50,0.0004565396911205843,0.59,-0.16170196377665846
6,last_5,50,0.05339005697872952,0.5740000000000001,-0.08344919209352812
7,last_6,50,0.055583408332386924,0.592,0.035778317527717325
