level,level_name,num_samples,mean_kendall_tau,mean_top_k_overlap,mean_cosine_similarity
0,trained,50,1.0,1.0,1.0
1,classifier,50,0.23029030954058816,0.6680000000000001,0.1914934515925803
2,last_1,50,0.13729574478057355,0.6060000000000001,-0.24830877294213619
3,last_2,50,-0.0077675969924794926,0.5840000000000001,-0.01558797813961951
4,last_3,50,-0.021831574849971176,0.556,-0.08070153896926115
5,last_4,50,-0.0002881586965180866,0.5680000000000001,-0.23190613742190133
6,last_5,50,0.03663683648198433,0.582,0.33943227420845157
7,last_6,50,0.04606073118164331,0.582,-0.0057504774128927915
