level,level_name,num_samples,mean_kendall_tau,mean_top_k_overlap,mean_cosine_similarity
0,trained,50,1.0,1.0,1.0
1,classifier,50,0.3385205541505456,0.73,0.6730707776060669
2,last_1,50,0.1144932771849404,0.6280000000000001,-0.23399602670096895
3,last_2,50,-0.022269894616872583,0.604,0.28865605041809866
4,last_3,50,0.021207507756008083,0.64,0.057955910973458896
5,last_4,50,0.005856785424937683,0.622,0.2441639558284906
6,last_5,50,0.023068065647489883,0.628,-0.2501564318051294
7,last_6,50,0.019200436715459363,0.618,0.2999717417974702
