level,level_name,num_samples,mean_kendall_tau,mean_top_k_overlap,mean_cosine_similarity
0,trained,50,1.0,1.0,1.0
1,classifier,50,0.18494125285163243,0.6559999999999999,0.13248375589388556
2,last_1,50,0.15925233889685406,0.6580000000000001,0.0911135118717206
3,last_2,50,-0.03487902372922958,0.508,0.05095431896986788
4,last_3,50,-0.04859673804165872,0.52,-0.04697881129838511
5,last_4,50,-0.002701300624310954,0.5840000000000001,-0.11841685580670289
6,last_5,50,0.04138701187310306,0.5640000000000001,-0.07776749781381027
7,last_6,50,0.0553034666959981,0.586,0.047113665973544695
