level,level_name,num_samples,mean_kendall_tau,mean_top_k_overlap,mean_cosine_similarity
0,trained,50,1.0,1.0,1.0
1,classifier,50,0.19351194956553172,0.708,0.1095444123069588
2,last_1,50,0.1279362239689995,0.67,-0.2785618798006066
3,last_2,50,0.055132217219500054,0.6379999999999999,0.0661768575252523
4,last_3,50,-0.027087473870105315,0.6139999999999999,-0.23006914348580898
5,last_4,50,0.010785472376803185,0.634,-0.0038046083423310595
6,last_5,50,0.031351965278524754,0.648,0.1639943315991569
7,last_6,50,0.0512632496653254,0.6519999999999999,0.27853963191781567
