level,level_name,num_samples,mean_kendall_tau,mean_top_k_overlap,mean_cosine_similarity
0,trained,50,1.0,1.0,1.0
1,classifier,50,0.3631554569955063,0.7680000000000001,0.7506745152313917
2,last_1,50,0.1854570603613687,0.648,-0.26152007455234566
3,last_2,50,-0.020861466695795743,0.5900000000000001,0.17165617476396927
4,last_3,50,0.018014275724726768,0.628,0.021880511753116876
5,last_4,50,-0.007870094417079938,0.622,0.22045473150892309
6,last_5,50,0.03602379218266011,0.6599999999999998,-0.2443685458125597
7,last_6,50,0.04126734983257948,0.628,0.2795035354500285
