level,level_name,num_samples,mean_kendall_tau,mean_top_k_overlap,mean_cosine_similarity
0,trained,50,1.0,1.0,1.0
1,classifier,50,0.3337793661875259,0.75,0.7381164549737075
2,last_1,50,0.1771260671929338,0.6480000000000001,0.4353890813160683
3,last_2,50,0.022412392607019632,0.586,-0.028305342059672736
4,last_3,50,-0.029118768342784006,0.586,-0.08990148479938904
5,last_4,50,-0.020454822987656968,0.5760000000000001,0.06640046249517843
6,last_5,50,0.07852399744029032,0.606,0.24237822993888428
7,last_6,50,0.0458283590326461,0.602,0.08550510970466023
